x	y	cluster	words
35.634575	-0.9229713	10	City
4.853659	-11.029869	14	twice
11.655992	-21.038105	18	sit
-12.317844	-48.43938	19	Thoughtless
6.2350245	-5.428953	12	LIABILITY
46.15795	20.655348	12	Director
-2.366724	2.7624834	19	neighbourhoods
17.88259	-7.809006	19	eyes_
-30.027979	-39.22267	10	rejoice
32.507862	28.634485	3	length
-2.232728	3.8426235	10	inspection
35.63854	11.041014	12	widow
-3.4299955	-46.532276	14	pray
-39.847115	28.39505	10	accent
44.26616	25.34038	12	obeyed
-2.6137373	0.9734359	12	housemaid
-5.1801686	-30.568552	10	Christmas
41.221558	16.957918	10	replacement
2.258256	-29.174166	12	card-table
4.7239137	-0.13910556	14	high
-9.301849	53.540497	19	deferred
6.859434	6.776364	19	rise
-48.192772	-12.318837	2	promoting
12.758629	13.768111	12	Dr
45.38213	21.562035	19	nourishes
-46.832268	-20.479174	11	Lady
8.5773325	0.7061623	13	it
24.840986	27.34326	18	shook
-39.797344	-42.870537	19	bitterest
-49.685566	7.8067775	17	eyes
29.87113	22.271048	19	enforced
-32.28355	-45.464146	0	service
18.962227	29.55126	10	employees
34.20921	16.641386	2	recommending
-9.03659	57.702488	2	amaze
6.2019544	13.826195	19	correspond
14.032753	30.341595	2	doubled
-51.43052	-2.691092	14	looks
-24.562986	-50.38208	10	permitted
45.85337	29.72911	12	ILLUSTRATED
30.49482	26.675922	2	discontinue
17.01069	21.587015	18	escape
52.089134	22.421165	12	uncontrolled
-53.342506	-10.328691	0	intimate
32.498672	6.8569274	2	creditably
-18.682322	-45.30154	12	settling
-9.367956	-37.803085	19	penetration
-39.339626	-39.633675	19	Sermons
-11.603247	49.78336	0	letting
44.491512	37.43419	2	carefully
13.358534	-3.3355088	10	sweet
26.464943	15.549418	12	rate
-5.8641024	1.3371854	14	likewise
-4.5962615	-32.859272	10	cases
-44.47591	-26.63196	10	abominably
21.642498	14.324094	10	acceptable
-9.882996	-10.503352	19	regretted
-8.950247	-36.303345	0	share
22.874487	14.541353	10	solemnity
-10.709008	-16.212803	14	interesting
-46.67916	12.316573	2	lurking
-40.369408	20.287897	18	Charles
-53.748646	-9.944317	12	privately
-0.17555122	-10.863914	12	unreserved
31.640772	5.1749935	10	estates
-7.245594	-45.072575	19	requited
40.78697	9.17936	12	banish
-46.302	0.9093112	18	States
44.430866	27.498413	0	obligation
-51.92393	-12.392332	19	handkerchief
-7.357416	-6.4558554	3	Yes
38.12954	0.5881415	2	distinguishing
-2.4842513	-16.676401	2	failing
-27.650537	34.115494	19	Niece
-30.664434	-47.38634	19	thirteen
-50.962135	-14.676983	10	leading
-38.230976	-41.224373	2	godson
12.002578	-19.337618	6	heard
7.195792	3.7973855	17	possible
9.825839	25.372505	19	Public
-6.5299525	-13.817137	10	suggested
-11.379078	59.057354	2	plentiful
-9.788793	57.89086	19	boasting
-26.803501	40.280113	2	resign
-0.30481294	13.377246	19	uglier
2.850292	-21.680485	2	indelicate
-0.35129434	0.98564225	2	sagacity
-42.430485	-43.582962	12	benefit
-37.95337	23.40215	10	costs
17.231693	-14.518639	10	guess
-55.05654	-12.409473	19	Ashworth
-52.509426	-17.624758	12	disturbers
-5.985564	-37.37271	10	Come
-7.5934677	-11.1072855	14	led
32.4292	-7.00524	5	better
-9.854345	-48.24296	0	rejoiced
20.926691	-13.215484	0	alarmed
-13.64401	-42.879795	2	excel
28.236559	27.791986	12	_then_
-51.615276	4.0043435	0	openly
3.1027136	4.311235	12	parishioners
-12.072161	-42.61294	10	takes
-20.134329	44.72181	19	half-opened
29.382149	12.6245	19	glove
-41.230804	-40.378937	12	springing
-49.485615	2.393646	19	dangerous
6.22592	-19.797249	7	dear
-27.522259	-35.399914	2	Bromley
24.247772	27.9892	10	mode
-3.9618104	55.350674	2	prizes
20.297415	20.99863	0	paying
-17.881527	51.200867	0	ordered
-41.589127	26.666409	0	somebody
-23.607546	-49.660812	19	transpired
-1.8157305	-28.058628	14	tax
-31.79331	-41.447357	14	weeks
20.93469	32.954872	2	ordained
-10.217095	53.45771	2	intermarriage
15.06405	24.660563	2	annum
39.568558	28.609327	19	extorted
-29.781586	-43.19584	10	809
-36.371998	-34.69763	18	welcome
0.4522486	-20.148134	3	Do
14.177406	-17.23328	0	admired
49.55804	23.073706	12	affinity
-42.581623	13.923936	19	beforehand
32.1715	16.460463	2	landing
-46.0283	-19.262978	8	probably
34.084976	34.78173	9	which
47.673897	31.592089	10	stupid
-43.906097	-27.952473	2	half-hours
-32.74729	-37.55824	19	Friday
43.247105	23.409267	2	overtures
8.984331	-14.539102	2	recognizing
-0.23792785	-12.821108	2	damp
15.6369915	31.693228	2	Any
8.812011	-24.908989	12	absolute
-42.082	26.311577	19	local
-42.171375	-42.55786	12	hesitate
26.613914	13.768991	18	gratified
-50.636833	-18.58311	18	changed
-56.541626	-11.981796	12	owned
3.4973438	-16.419577	10	accomplishments
-26.72223	36.909008	10	estimation
33.2756	6.216934	8	determined
-36.696255	-40.361217	2	perturbation
-12.954739	-28.603964	19	omitted
-40.28972	-41.161102	13	is
-45.089676	-23.567692	10	cordiality
-15.060814	-18.109537	19	_We_
24.975504	-6.368918	12	encroaching
-44.702457	-36.50701	12	flew
-6.0401955	-43.604355	19	discrimination
-11.88361	-51.823223	2	missent
10.116682	-24.576494	19	closely
10.953585	-3.3207712	2	encamped
9.2156	21.852352	0	moving
12.085913	-5.4689584	12	deprived
-33.747257	-42.728455	12	soliciting
16.701544	18.128956	8	kindness
0.5119355	-30.645983	12	deemed
-46.83717	-34.52735	18	excited
-6.432382	-28.803286	2	dividing
26.575108	21.415497	0	justify
20.219278	28.595123	19	watches
35.93324	30.7041	5	added
-15.197685	46.596886	12	water
-46.012276	-30.9797	10	polite
-51.717144	-28.071014	0	heightened
-24.832659	-48.88364	2	charmingly
30.592875	15.885962	19	pitched
49.721706	30.596394	10	imprudence
-2.0243611	5.645232	12	offenses
12.336885	9.435107	2	ill-usage
-47.61493	9.283711	12	awe
13.574172	-3.7891223	12	arguments
-53.213177	-4.9146757	19	confident
44.19999	18.309547	10	breeding
21.250727	26.453009	19	concerto
-2.71057	-1.5400829	12	gravity
47.76152	31.98569	19	abiding
-46.603237	16.841566	2	stirring
30.381554	11.479817	2	vague
15.439573	-12.146432	19	Wretched
26.647484	18.86661	6	each
-55.90858	-21.922249	12	ruined
28.837706	-6.921127	2	decorums
-33.325455	-40.261005	19	music-books
-47.859962	-27.921898	19	godfather
7.8792086	-29.256504	2	warehouses
-52.36457	2.889711	10	EBook
-4.8502645	-26.061102	2	jealous
39.342976	18.892542	19	Grantley
-7.3742285	-43.937305	10	names
-19.317366	45.117344	2	disinclination
4.25153	6.8293543	12	philosophy
47.184135	15.592074	12	tenor
14.40464	34.890038	2	processing
-46.872543	-39.165043	19	prided
-3.2330036	3.5557654	12	calmness
-6.8183045	-45.557724	19	stanzas
-11.03656	-34.88966	19	proving
3.8573895	-12.837981	2	_éclat_
-39.446247	-36.713913	12	welfare
-8.698139	-20.470982	0	foolish
-1.2746428	13.017952	2	faintly
11.540872	-9.638835	14	wedding
33.549114	27.171576	2	unabashed
-46.029167	-38.689373	19	hushed
35.016853	33.324776	19	equalled
-47.413425	-6.077503	8	case
-51.173138	-23.036306	2	Dawson
12.216287	8.674485	19	second-hand
-12.378849	-50.94882	0	attending
-25.881384	-44.44951	12	continuance
30.261328	0.29631555	19	afresh
